date,buy_amount,sell_amount,net_amount,trade_count,signal
2026-01-05,8680818.920000002,0.0,8680818.92,42,neutral
2026-01-06,8606569.43,0.0,8606569.43,46,neutral
2026-01-08,7263467.17,0.0,7263467.17,50,neutral
2026-01-13,18871602.73,19214916.9,-343314.16999999975,70,neutral
2026-01-14,14090889.28,18683347.26,-4592457.98,61,neutral
2026-01-19,10612220.470000003,3398994.0,7213226.47,74,neutral
2026-01-20,10341169.530000001,0.0,10341169.53,67,heavy_buy
2026-01-21,9393539.780000001,0.0,9393539.78,68,neutral
2026-01-22,9718215.829999998,0.0,9718215.83,69,neutral
2026-01-23,13563365.75,11937873.14,1625492.6099999999,26,neutral
2026-01-26,9258153.609999998,15457969.779999997,-6199816.17,74,neutral
2026-01-27,10645129.139999999,16303928.92,-5658799.779999999,70,neutral
2026-01-28,17095225.310000002,810320.3,16284905.01,66,heavy_buy
2026-01-29,14599021.39,0.0,14599021.39,60,heavy_buy
2026-01-30,2759093.2199999997,0.0,2759093.2199999997,56,neutral
2026-02-02,16453644.290000001,0.0,16453644.29,72,heavy_buy
2026-02-03,7347025.05,0.0,7347025.05,17,neutral
2026-02-04,11741638.489999998,0.0,11741638.49,47,heavy_buy
2026-02-10,5445494.369999999,0.0,5445494.37,44,neutral
2026-02-11,8503396.73,0.0,8503396.73,57,neutral
2026-02-26,10682976.07,14631343.399999999,-3948367.33,72,neutral
2026-02-27,3333443.16,9411549.11,-6078105.949999999,60,neutral
2026-03-03,14286959.93,0.0,14286959.93,64,heavy_buy
2026-03-05,14118459.16,14535172.32,-416713.15999999986,74,neutral
2026-03-10,22235315.48,0.0,22235315.48,72,heavy_buy
2026-03-11,4612149.63,0.0,4612149.63,73,neutral
2026-03-13,15916313.410000002,12415872.149999999,3500441.26,70,neutral
